code,label,family,trade_direction,entry_rule,target_pct,stop_pct,time_cap_days,state_size,state_signature,feature_keys,tickers,trades,take_profit_count,take_profit_rate_pct,stop_loss_count,stop_loss_rate_pct,time_cap_count,time_cap_rate_pct,profitable_count,profitable_rate_pct,average_trade_return_pct,net_trade_return_pct,profit_factor,validation_trades,validation_take_profit_count,validation_take_profit_rate_pct,validation_stop_loss_count,validation_stop_loss_rate_pct,validation_time_cap_count,validation_time_cap_rate_pct,validation_profitable_count,validation_profitable_rate_pct,validation_average_trade_return_pct,validation_net_trade_return_pct,validation_profit_factor,train_trades,train_take_profit_count,train_take_profit_rate_pct,train_stop_loss_count,train_stop_loss_rate_pct,train_time_cap_count,train_time_cap_rate_pct,train_profitable_count,train_profitable_rate_pct,train_average_trade_return_pct,train_net_trade_return_pct,train_profit_factor,test_trades,test_take_profit_count,test_take_profit_rate_pct,test_stop_loss_count,test_stop_loss_rate_pct,test_time_cap_count,test_time_cap_rate_pct,test_profitable_count,test_profitable_rate_pct,test_average_trade_return_pct,test_net_trade_return_pct,test_profit_factor,sharpe_ratio,binomial_pvalue,ttest_pvalue,score,passes_validation_filter,first_trade_date,last_trade_date
asset_long_close_tp4_sl4_cap10__3f__close_vs_sma50=dn_1_5__range_position_20d=middle__atr_return_5d=rel_soft_up,"Discovery Acao: compra no close, alvo +4% / stop -4% / cap 10D | Fechamento vs MM50: abaixo leve; Posicao no range 20D: fechou no meio; Retorno 5D normalizado por ATR: levemente acima",asset_state_discovery_round1,long,close,4.0000,4.0000,10,3,Fechamento vs MM50: abaixo leve; Posicao no range 20D: fechou no meio; Retorno 5D normalizado por ATR: levemente acima,"close_vs_sma50,range_position_20d,atr_return_5d",66,211,145,68.7204,44,20.8531,22,10.4265,160,75.8294,1.9987,421.7246,3.3172,60,49,81.6667,7,11.6667,4,6.6667,52,86.6667,2.8590,171.5394,7.0794,151,96,63.5762,37,24.5033,18,11.9205,108,71.5232,1.6569,250.1850,2.626927458875675,60,49,81.6667,7,11.6667,4,6.6667,52,86.6667,2.8590,171.5394,7.079357260062304,0.6134246195703972,3.1308289294429414e-14,0.0,719.3008,True,2025-03-14,2026-04-10
asset_long_open_tp3_sl4_cap10__3f__gap_vs_atr14=rel_soft_dn__range_position_5d=upper_band__positive_days_10d=strong,"Discovery Acao: compra no open, alvo +3% / stop -4% / cap 10D | Gap vs ATR14: levemente abaixo; Posicao no range 5D: fechou na metade superior; Dias positivos nos ultimos 10 pregoes: 6 a 7 dias positivos em 10D",asset_state_discovery_round1,long,open,3.0000,4.0000,10,3,Gap vs ATR14: levemente abaixo; Posicao no range 5D: fechou na metade superior; Dias positivos nos ultimos 10 pregoes: 6 a 7 dias positivos em 10D,"gap_vs_atr14,range_position_5d,positive_days_10d",70,251,192,76.4940,49,19.5219,10,3.9841,196,78.0876,1.4863,373.0496,2.8063,63,54,85.7143,9,14.2857,0,0.0000,54,85.7143,2.0000,126.0000,4.5000,188,138,73.4043,40,21.2766,10,5.3191,142,75.5319,1.3141,247.0496,2.4487333458434977,63,54,85.7143,9,14.2857,0,0.0000,54,85.7143,2.0000,126.0000,4.5,0.5273599289245522,0.0,0.0,678.8116,True,2025-01-24,2026-04-07
asset_long_close_tp3_sl4_cap10__3f__gap_vs_atr14=rel_near__drawdown_5d=dd_1_3__rsi_14=low,"Discovery Acao: compra no close, alvo +3% / stop -4% / cap 10D | Gap vs ATR14: perto do normal; Queda desde maxima 5D: 1% a 3% abaixo da maxima; RSI 14 periodos: RSI baixo",asset_state_discovery_round1,long,close,3.0000,4.0000,10,3,Gap vs ATR14: perto do normal; Queda desde maxima 5D: 1% a 3% abaixo da maxima; RSI 14 periodos: RSI baixo,"gap_vs_atr14,drawdown_5d,rsi_14",51,208,148,71.1538,40,19.2308,20,9.6154,161,77.4038,1.3744,285.8692,2.6496,19,17,89.4737,2,10.5263,0,0.0000,17,89.4737,2.2632,43.0000,6.3750,189,131,69.3122,38,20.1058,20,10.5820,144,76.1905,1.2850,242.8691,2.4693327751296033,19,17,89.4737,2,10.5263,0,0.0000,17,89.4737,2.2632,43.0000,6.375,0.49070448343869666,1.3322676295501878e-15,7.41295913542217e-13,678.3657,False,2025-01-22,2026-03-20
asset_long_open_tp3_sl4_cap10__3f__gap_vs_range20=rel_soft_dn__range_position_5d=upper_band__positive_days_10d=strong,"Discovery Acao: compra no open, alvo +3% / stop -4% / cap 10D | Gap vs range medio 20D: levemente abaixo; Posicao no range 5D: fechou na metade superior; Dias positivos nos ultimos 10 pregoes: 6 a 7 dias positivos em 10D",asset_state_discovery_round1,long,open,3.0000,4.0000,10,3,Gap vs range medio 20D: levemente abaixo; Posicao no range 5D: fechou na metade superior; Dias positivos nos ultimos 10 pregoes: 6 a 7 dias positivos em 10D,"gap_vs_range20,range_position_5d,positive_days_10d",72,267,202,75.6554,54,20.2247,11,4.1199,207,77.5281,1.4360,383.4200,2.6926,65,56,86.1538,9,13.8462,0,0.0000,56,86.1538,2.0308,132.0000,4.6667,202,146,72.2772,45,22.2772,11,5.4455,151,74.7525,1.2447,251.4200,2.3195960698689957,65,56,86.1538,9,13.8462,0,0.0000,56,86.1538,2.0308,132.0000,4.666666666666667,0.5039972786253678,0.0,0.0,676.3653,True,2025-02-03,2026-04-07
asset_long_close_tp3_sl4_cap10__3f__prev_ret_20d=up_1_3__positive_days_5d=strong__bb_position_20=near_high,"Discovery Acao: compra no close, alvo +3% / stop -4% / cap 10D | Retorno acumulado 20D: alta de 1% a 3%; Dias positivos nos ultimos 5 pregoes: 4 a 5 dias positivos em 5D; Posicao nas Bandas de Bollinger 20D: fechou perto da maxima",asset_state_discovery_round1,long,close,3.0000,4.0000,10,3,Retorno acumulado 20D: alta de 1% a 3%; Dias positivos nos ultimos 5 pregoes: 4 a 5 dias positivos em 5D; Posicao nas Bandas de Bollinger 20D: fechou perto da maxima,"prev_ret_20d,positive_days_5d,bb_position_20",63,219,156,71.2329,41,18.7215,22,10.0457,166,75.7991,1.3638,298.6649,2.6524,39,33,84.6154,2,5.1282,4,10.2564,35,89.7436,2.3299,90.8658,9.9538,180,123,68.3333,39,21.6667,18,10.0000,131,72.7778,1.1544,207.7993,2.2180826681141466,39,33,84.6154,2,5.1282,4,10.2564,35,89.7436,2.3299,90.8658,9.953795216932885,0.4888931231566811,1.1324274851176597e-14,2.3447910280083306e-13,675.3131,True,2025-01-30,2026-04-10
asset_long_open_tp3_sl4_cap10__3f__prev_ret_10d=flat__sma20_vs_sma50=dn_1_5__intraday_return_prev=flat,"Discovery Acao: compra no open, alvo +3% / stop -4% / cap 10D | Retorno acumulado 10D: neutro; MM20 vs MM50: abaixo leve; Retorno intraday do candle de referencia: neutro",asset_state_discovery_round1,long,open,3.0000,4.0000,10,3,Retorno acumulado 10D: neutro; MM20 vs MM50: abaixo leve; Retorno intraday do candle de referencia: neutro,"prev_ret_10d,sma20_vs_sma50,intraday_return_prev",57,249,173,69.4779,46,18.4739,30,12.0482,183,73.4940,1.3013,324.0168,2.5324,51,46,90.1961,5,9.8039,0,0.0000,46,90.1961,2.3137,118.0000,6.9000,198,127,64.1414,41,20.7071,30,15.1515,137,69.1919,1.0405,206.0165,2.0761565274896796,51,46,90.1961,5,9.8039,0,0.0000,46,90.1961,2.3137,118.0000,6.9,0.4635914933162414,6.150635556423367e-14,1.2934098236883074e-13,674.9490,True,2025-03-19,2026-04-09
asset_long_open_tp4_sl4_cap10__3f__gap_vs_atr14=rel_soft_dn__range_position_5d=upper_band__close_vs_ema9=up_1_5,"Discovery Acao: compra no open, alvo +4% / stop -4% / cap 10D | Gap vs ATR14: levemente abaixo; Posicao no range 5D: fechou na metade superior; Fechamento vs EMA9: acima leve",asset_state_discovery_round1,long,open,4.0000,4.0000,10,3,Gap vs ATR14: levemente abaixo; Posicao no range 5D: fechou na metade superior; Fechamento vs EMA9: acima leve,"gap_vs_atr14,range_position_5d,close_vs_ema9",76,276,182,65.9420,69,25.0000,25,9.0580,197,71.3768,1.6529,456.1931,2.5579,73,59,80.8219,13,17.8082,1,1.3699,60,82.1918,2.5543,186.4627,4.5858,203,123,60.5911,56,27.5862,24,11.8227,137,67.4877,1.3287,269.7303,2.1200610420754304,73,59,80.8219,13,17.8082,1,1.3699,60,82.1918,2.5543,186.4627,4.585821153846154,0.4746244295308808,6.156186671546493e-13,1.5543122344752192e-15,674.4388,True,2025-01-27,2026-04-13
asset_long_close_tp3_sl4_cap10__3f__sma20_vs_sma50=near__streak_direction=up_1__day_of_week=fri,"Discovery Acao: compra no close, alvo +3% / stop -4% / cap 10D | MM20 vs MM50: perto do equilibrio; Sequencia de altas/quedas: alta no ultimo pregao; Dia da semana: sexta-feira",asset_state_discovery_round1,long,close,3.0000,4.0000,10,3,MM20 vs MM50: perto do equilibrio; Sequencia de altas/quedas: alta no ultimo pregao; Dia da semana: sexta-feira,"sma20_vs_sma50,streak_direction,day_of_week",72,208,147,70.6731,38,18.2692,23,11.0577,157,75.4808,1.3528,281.3891,2.6565,27,24,88.8889,3,11.1111,0,0.0000,24,88.8889,2.2222,60.0000,6.0000,181,123,67.9558,35,19.3370,23,12.7072,133,73.4807,1.2231,221.3889,2.4023289709467712,27,24,88.8889,3,11.1111,0,0.0000,24,88.8889,2.2222,60.0000,6.0,0.48832848736449885,1.000310945187266e-13,9.485745522397337e-13,673.0836,True,2025-03-14,2026-04-10
asset_long_open_tp4_sl4_cap10__3f__prev_ret_20d=dn_5_8__sma20_vs_sma50=dn_1_5__sma50_slope_10d=near,"Discovery Acao: compra no open, alvo +4% / stop -4% / cap 10D | Retorno acumulado 20D: queda de 5% a 8%; MM20 vs MM50: abaixo leve; Inclinacao da MM50 em 10D: perto do equilibrio",asset_state_discovery_round1,long,open,4.0000,4.0000,10,3,Retorno acumulado 20D: queda de 5% a 8%; MM20 vs MM50: abaixo leve; Inclinacao da MM50 em 10D: perto do equilibrio,"prev_ret_20d,sma20_vs_sma50,sma50_slope_10d",65,294,196,66.6667,43,14.6259,55,18.7075,230,78.2313,2.1593,634.8222,4.1752,80,57,71.2500,15,18.7500,8,10.0000,63,78.7500,2.1843,174.7420,3.8346,214,139,64.9533,28,13.0841,47,21.9626,167,78.0374,2.1499,460.0801,4.327088414997929,80,57,71.2500,15,18.7500,8,10.0000,63,78.7500,2.1843,174.7420,3.834631618904249,0.7247675163403701,0.0,0.0,672.9555,True,2025-04-01,2026-04-08
asset_long_open_tp4_sl4_cap10__3f__prev_ret_2d=flat__sma5_vs_sma20=dn_1_5__compression_3v20=high,"Discovery Acao: compra no open, alvo +4% / stop -4% / cap 10D | Retorno acumulado 2D: neutro; MM5 vs MM20: abaixo leve; Compressao 3D vs 20D: alto",asset_state_discovery_round1,long,open,4.0000,4.0000,10,3,Retorno acumulado 2D: neutro; MM5 vs MM20: abaixo leve; Compressao 3D vs 20D: alto,"prev_ret_2d,sma5_vs_sma20,compression_3v20",72,264,173,65.5303,51,19.3182,40,15.1515,191,72.3485,1.8544,489.5566,3.1091,61,47,77.0492,11,18.0328,3,4.9180,50,81.9672,2.4422,148.9736,4.3858,203,126,62.0690,40,19.7044,37,18.2266,141,69.4581,1.6777,340.5829,2.8105056061511373,61,47,77.0492,11,18.0328,3,4.9180,50,81.9672,2.4422,148.9736,4.385763636363636,0.5695402920599494,1.9162449405030202e-13,0.0,672.5699,True,2025-02-12,2026-04-06
asset_long_close_tp4_sl4_cap10__3f__gap_vs_atr14=rel_soft_dn__drawdown_5d=dd_1_3__day_of_week=thu,"Discovery Acao: compra no close, alvo +4% / stop -4% / cap 10D | Gap vs ATR14: levemente abaixo; Queda desde maxima 5D: 1% a 3% abaixo da maxima; Dia da semana: quinta-feira",asset_state_discovery_round1,long,close,4.0000,4.0000,10,3,Gap vs ATR14: levemente abaixo; Queda desde maxima 5D: 1% a 3% abaixo da maxima; Dia da semana: quinta-feira,"gap_vs_atr14,drawdown_5d,day_of_week",75,208,139,66.8269,49,23.5577,20,9.6154,155,74.5192,1.8439,383.5343,2.8902,75,58,77.3333,14,18.6667,3,4.0000,61,81.3333,2.3954,179.6521,4.2081,133,81,60.9023,35,26.3158,17,12.7820,94,70.6767,1.5329,203.8821,2.387808404363506,75,58,77.3333,14,18.6667,3,4.0000,61,81.3333,2.3954,179.6521,4.208073214285714,0.5441521363281213,7.663869538987456e-13,2.1094237467877974e-15,670.0519,True,2025-02-06,2026-04-02
asset_long_close_tp3_sl4_cap10__3f__close_vs_sma50=dn_1_5__compression_3v20=high__drawdown_10d=dd_3_6,"Discovery Acao: compra no close, alvo +3% / stop -4% / cap 10D | Fechamento vs MM50: abaixo leve; Compressao 3D vs 20D: alto; Queda desde maxima 10D: 3% a 6% abaixo da maxima",asset_state_discovery_round1,long,close,3.0000,4.0000,10,3,Fechamento vs MM50: abaixo leve; Compressao 3D vs 20D: alto; Queda desde maxima 10D: 3% a 6% abaixo da maxima,"close_vs_sma50,compression_3v20,drawdown_10d",64,225,159,70.6667,38,16.8889,28,12.4444,171,76.0000,1.4220,319.9452,2.8435,52,45,86.5385,6,11.5385,1,1.9231,46,88.4615,2.1518,111.8921,5.6622,173,114,65.8960,32,18.4971,27,15.6069,125,72.2543,1.2026,208.0530,2.391193580742227,52,45,86.5385,6,11.5385,1,1.9231,46,88.4615,2.1518,111.8921,5.662170833333334,0.5241620829955554,3.1086244689504383e-15,1.887379141862766e-15,669.8420,True,2025-03-14,2026-04-10
asset_long_close_tp3_sl4_cap10__3f__gap_vs_range20=rel_soft_dn__sma20_slope_5d=near__day_of_week=tue,"Discovery Acao: compra no close, alvo +3% / stop -4% / cap 10D | Gap vs range medio 20D: levemente abaixo; Inclinacao da MM20 em 5D: perto do equilibrio; Dia da semana: terca-feira",asset_state_discovery_round1,long,close,3.0000,4.0000,10,3,Gap vs range medio 20D: levemente abaixo; Inclinacao da MM20 em 5D: perto do equilibrio; Dia da semana: terca-feira,"gap_vs_range20,sma20_slope_5d,day_of_week",70,206,142,68.9320,37,17.9612,27,13.1068,155,75.2427,1.3681,281.8224,2.7386,36,32,88.8889,4,11.1111,0,0.0000,32,88.8889,2.2222,80.0000,6.0000,170,110,64.7059,33,19.4118,27,15.8824,123,72.3529,1.1872,201.8224,2.381402823827033,36,32,88.8889,4,11.1111,0,0.0000,32,88.8889,2.2222,80.0000,6.0,0.5007468285377824,2.1616042289451798e-13,3.33288951992472e-13,669.2017,True,2025-02-25,2026-04-07
asset_long_open_tp3_sl4_cap10__3f__prev_ret_10d=flat__sma20_vs_sma50=dn_1_5__drawdown_10d=dd_1_3,"Discovery Acao: compra no open, alvo +3% / stop -4% / cap 10D | Retorno acumulado 10D: neutro; MM20 vs MM50: abaixo leve; Queda desde maxima 10D: 1% a 3% abaixo da maxima",asset_state_discovery_round1,long,open,3.0000,4.0000,10,3,Retorno acumulado 10D: neutro; MM20 vs MM50: abaixo leve; Queda desde maxima 10D: 1% a 3% abaixo da maxima,"prev_ret_10d,sma20_vs_sma50,drawdown_10d",59,228,158,69.2982,42,18.4211,28,12.2807,170,74.5614,1.3031,297.1097,2.5615,51,45,88.2353,5,9.8039,1,1.9608,45,88.2353,2.2498,114.7421,6.6641,177,113,63.8418,37,20.9040,27,15.2542,125,70.6215,1.0303,182.3674,2.072676848330848,51,45,88.2353,5,9.8039,1,1.9608,45,88.2353,2.2498,114.7421,6.664066857867795,0.466296640994418,6.017408793468348e-14,9.612310947204605e-13,667.5719,True,2025-03-19,2026-04-09
