operational_score,code,label,family,template_code,template_label,trade_direction,entry_rule,take_profit_pct,stop_loss_pct,time_cap_days,state_size,state_signature,feature_keys,min_trade_return_pct,tickers_with_matches,total_occurrences,successful_occurrences,success_rate_pct,profitable_trades,profitable_trade_rate_pct,take_profit_trades,take_profit_rate_pct,stop_loss_trades,stop_loss_rate_pct,time_cap_trades,time_cap_rate_pct,average_asset_move_pct,average_trade_return_pct,net_trade_return_pct,cumulative_return_pct,profit_factor,first_trade_date,last_trade_date,exit_mode,atr_target_mult,atr_stop_mult
513.5633,asset_long_open_tp1_sl4_cap5__3f__sma20_vs_sma50=dn_1_5__range_position_10d=upper_band__atr_return_5d=rel_soft_up,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D | MM20 vs MM50: abaixo leve; Posicao no range 10D: fechou na metade superior; Retorno 5D normalizado por ATR: levemente acima",asset_state_discovery_round1,asset_long_open_tp1_sl4_cap5,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D",long,open,1.0000,4.0000,5,3,MM20 vs MM50: abaixo leve; Posicao no range 10D: fechou na metade superior; Retorno 5D normalizado por ATR: levemente acima,"sma20_vs_sma50,range_position_10d,atr_return_5d",0.0000,64,204,187,91.6667,187,91.6667,187,91.6667,12,5.8824,5,2.4510,0.6467,0.6467,131.9339,266.7194,3.3959,2025-04-22,2026-04-13,percent,,
512.9600,asset_long_close_tp1_sl4_cap5__3f__positive_days_10d=neutral__bb_position_20=near_low__day_of_week=fri,"Discovery Acao: compra no close, alvo +1% / stop -4% / cap 5D | Dias positivos nos ultimos 10 pregoes: 4 a 5 dias positivos em 10D; Posicao nas Bandas de Bollinger 20D: fechou perto da minima; Dia da semana: sexta-feira",asset_state_discovery_round1,asset_long_close_tp1_sl4_cap5,"Discovery Acao: compra no close, alvo +1% / stop -4% / cap 5D",long,close,1.0000,4.0000,5,3,Dias positivos nos ultimos 10 pregoes: 4 a 5 dias positivos em 10D; Posicao nas Bandas de Bollinger 20D: fechou perto da minima; Dia da semana: sexta-feira,"positive_days_10d,bb_position_20,day_of_week",0.0000,79,276,251,90.9420,251,90.9420,251,90.9420,15,5.4348,10,3.6232,0.6388,0.6388,176.3153,467.9699,3.3608,2025-05-09,2026-04-10,percent,,
512.1130,asset_long_open_tp1_2_sl4_cap5__3f__gap_vs_atr14=rel_soft_dn__range_position_5d=upper_band__drawdown_10d=dd_1_3,"Discovery Acao: compra no open, alvo +1.2% / stop -4% / cap 5D | Gap vs ATR14: levemente abaixo; Posicao no range 5D: fechou na metade superior; Queda desde maxima 10D: 1% a 3% abaixo da maxima",asset_state_discovery_round1,asset_long_open_tp1_2_sl4_cap5,"Discovery Acao: compra no open, alvo +1.2% / stop -4% / cap 5D",long,open,1.2000,4.0000,5,3,Gap vs ATR14: levemente abaixo; Posicao no range 5D: fechou na metade superior; Queda desde maxima 10D: 1% a 3% abaixo da maxima,"gap_vs_atr14,range_position_5d,drawdown_10d",0.0000,73,260,236,90.7692,236,90.7692,236,90.7692,20,7.6923,4,1.5385,0.7675,0.7675,199.5552,611.3981,3.3857,2025-04-22,2026-04-13,percent,,
511.3181,asset_long_open_tp1_1_sl4_cap5__3f__gap_vs_range20=rel_soft_dn__range_position_5d=upper_band__drawdown_10d=dd_1_3,"Discovery Acao: compra no open, alvo +1.1% / stop -4% / cap 5D | Gap vs range medio 20D: levemente abaixo; Posicao no range 5D: fechou na metade superior; Queda desde maxima 10D: 1% a 3% abaixo da maxima",asset_state_discovery_round1,asset_long_open_tp1_1_sl4_cap5,"Discovery Acao: compra no open, alvo +1.1% / stop -4% / cap 5D",long,open,1.1000,4.0000,5,3,Gap vs range medio 20D: levemente abaixo; Posicao no range 5D: fechou na metade superior; Queda desde maxima 10D: 1% a 3% abaixo da maxima,"gap_vs_range20,range_position_5d,drawdown_10d",0.0000,73,279,255,91.3978,255,91.3978,255,91.3978,21,7.5269,3,1.0753,0.6961,0.6961,194.2145,574.9493,3.2508,2025-04-22,2026-04-13,percent,,
509.3306,asset_long_close_tp1_1_sl4_cap5__3f__positive_days_10d=neutral__bb_position_20=near_low__day_of_week=fri,"Discovery Acao: compra no close, alvo +1.1% / stop -4% / cap 5D | Dias positivos nos ultimos 10 pregoes: 4 a 5 dias positivos em 10D; Posicao nas Bandas de Bollinger 20D: fechou perto da minima; Dia da semana: sexta-feira",asset_state_discovery_round1,asset_long_close_tp1_1_sl4_cap5,"Discovery Acao: compra no close, alvo +1.1% / stop -4% / cap 5D",long,close,1.1000,4.0000,5,3,Dias positivos nos ultimos 10 pregoes: 4 a 5 dias positivos em 10D; Posicao nas Bandas de Bollinger 20D: fechou perto da minima; Dia da semana: sexta-feira,"positive_days_10d,bb_position_20,day_of_week",0.0000,79,276,249,90.2174,249,90.2174,249,90.2174,17,6.1594,10,3.6232,0.6928,0.6928,191.2153,556.5090,3.3126,2025-05-09,2026-04-10,percent,,
506.5685,asset_long_open_tp1_sl4_cap5__3f__prev_ret_5d=up_1_3__sma20_vs_sma50=dn_1_5__range_position_10d=upper_band,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D | Retorno acumulado 5D: alta de 1% a 3%; MM20 vs MM50: abaixo leve; Posicao no range 10D: fechou na metade superior",asset_state_discovery_round1,asset_long_open_tp1_sl4_cap5,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D",long,open,1.0000,4.0000,5,3,Retorno acumulado 5D: alta de 1% a 3%; MM20 vs MM50: abaixo leve; Posicao no range 10D: fechou na metade superior,"prev_ret_5d,sma20_vs_sma50,range_position_10d",0.0000,62,219,198,90.4110,198,90.4110,198,90.4110,12,5.4795,9,4.1096,0.6289,0.6289,137.7368,288.2462,3.2856,2025-04-22,2026-04-13,percent,,
506.3420,asset_long_open_tp1_sl4_cap5__3f__prev_ret_2d=flat__prev_ret_5d=up_1_3__sma20_vs_sma50=dn_1_5,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D | Retorno acumulado 2D: neutro; Retorno acumulado 5D: alta de 1% a 3%; MM20 vs MM50: abaixo leve",asset_state_discovery_round1,asset_long_open_tp1_sl4_cap5,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D",long,open,1.0000,4.0000,5,3,Retorno acumulado 2D: neutro; Retorno acumulado 5D: alta de 1% a 3%; MM20 vs MM50: abaixo leve,"prev_ret_2d,prev_ret_5d,sma20_vs_sma50",0.0000,71,240,218,90.8333,218,90.8333,216,90.0000,13,5.4167,11,4.5833,0.6236,0.6236,149.6658,336.4850,3.2314,2025-04-22,2026-04-13,percent,,
506.2148,asset_long_open_tp1_sl4_cap5__3f__gap_vs_atr14=rel_soft_dn__range_position_5d=upper_band__close_vs_ema9=up_1_5,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D | Gap vs ATR14: levemente abaixo; Posicao no range 5D: fechou na metade superior; Fechamento vs EMA9: acima leve",asset_state_discovery_round1,asset_long_open_tp1_sl4_cap5,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D",long,open,1.0000,4.0000,5,3,Gap vs ATR14: levemente abaixo; Posicao no range 5D: fechou na metade superior; Fechamento vs EMA9: acima leve,"gap_vs_atr14,range_position_5d,close_vs_ema9",0.0000,73,207,191,92.2705,191,92.2705,191,92.2705,16,7.7295,0,0.0000,0.6135,0.6135,127.0000,248.1145,2.9844,2025-04-22,2026-04-13,percent,,
506.0302,asset_long_open_tp1_1_sl4_cap5__3f__sma20_vs_sma50=dn_1_5__range_position_10d=upper_band__atr_return_5d=rel_soft_up,"Discovery Acao: compra no open, alvo +1.1% / stop -4% / cap 5D | MM20 vs MM50: abaixo leve; Posicao no range 10D: fechou na metade superior; Retorno 5D normalizado por ATR: levemente acima",asset_state_discovery_round1,asset_long_open_tp1_1_sl4_cap5,"Discovery Acao: compra no open, alvo +1.1% / stop -4% / cap 5D",long,open,1.1000,4.0000,5,3,MM20 vs MM50: abaixo leve; Posicao no range 10D: fechou na metade superior; Retorno 5D normalizado por ATR: levemente acima,"sma20_vs_sma50,range_position_10d,atr_return_5d",0.0000,64,204,185,90.6863,185,90.6863,185,90.6863,14,6.8627,5,2.4510,0.6884,0.6884,140.4339,297.8719,3.2268,2025-04-22,2026-04-13,percent,,
503.0668,asset_long_open_tp1_sl4_cap5__3f__streak_direction=up_1__day_of_week=tue__atr_return_5d=rel_soft_dn,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D | Sequencia de altas/quedas: alta no ultimo pregao; Dia da semana: terca-feira; Retorno 5D normalizado por ATR: levemente abaixo",asset_state_discovery_round1,asset_long_open_tp1_sl4_cap5,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D",long,open,1.0000,4.0000,5,3,Sequencia de altas/quedas: alta no ultimo pregao; Dia da semana: terca-feira; Retorno 5D normalizado por ATR: levemente abaixo,"streak_direction,day_of_week,atr_return_5d",0.0000,75,219,199,90.8676,199,90.8676,198,90.4110,14,6.3927,7,3.1963,0.6123,0.6123,134.0994,273.9406,3.0901,2025-04-22,2026-03-31,percent,,
501.0670,asset_long_open_tp1_sl4_cap5__3f__close_vs_sma50=up_5_10__rsi_14=high__day_of_week=tue,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D | Fechamento vs MM50: acima forte; RSI 14 periodos: RSI alto; Dia da semana: terca-feira",asset_state_discovery_round1,asset_long_open_tp1_sl4_cap5,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D",long,open,1.0000,4.0000,5,3,Fechamento vs MM50: acima forte; RSI 14 periodos: RSI alto; Dia da semana: terca-feira,"close_vs_sma50,rsi_14,day_of_week",0.0000,59,223,203,91.0314,203,91.0314,203,91.0314,15,6.7265,5,2.2422,0.6030,0.6030,134.4696,274.8508,2.9622,2025-04-22,2026-04-07,percent,,
500.8177,asset_long_open_tp1_sl4_cap5__3f__gap_vs_atr14=rel_soft_dn__range_position_5d=upper_band__positive_days_5d=soft_strong,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D | Gap vs ATR14: levemente abaixo; Posicao no range 5D: fechou na metade superior; Dias positivos nos ultimos 5 pregoes: 3 dias positivos em 5D",asset_state_discovery_round1,asset_long_open_tp1_sl4_cap5,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D",long,open,1.0000,4.0000,5,3,Gap vs ATR14: levemente abaixo; Posicao no range 5D: fechou na metade superior; Dias positivos nos ultimos 5 pregoes: 3 dias positivos em 5D,"gap_vs_atr14,range_position_5d,positive_days_5d",0.0000,69,204,187,91.6667,187,91.6667,187,91.6667,16,7.8431,1,0.4902,0.5980,0.5980,121.9828,231.1283,2.8762,2025-04-22,2026-04-13,percent,,
500.3320,asset_long_open_tp1_sl4_cap5__3f__prev_ret_5d=up_1_3__range_position_20d=upper_band__day_of_week=thu,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D | Retorno acumulado 5D: alta de 1% a 3%; Posicao no range 20D: fechou na metade superior; Dia da semana: quinta-feira",asset_state_discovery_round1,asset_long_open_tp1_sl4_cap5,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D",long,open,1.0000,4.0000,5,3,Retorno acumulado 5D: alta de 1% a 3%; Posicao no range 20D: fechou na metade superior; Dia da semana: quinta-feira,"prev_ret_5d,range_position_20d,day_of_week",0.0000,72,203,186,91.6256,186,91.6256,185,91.1330,15,7.3892,3,1.4778,0.5977,0.5977,121.3361,229.1413,2.8892,2025-04-24,2026-04-09,percent,,
499.9752,asset_long_open_tp1_sl4_cap5__3f__prev_ret_20d=shock_up__close_vs_sma50=up_5_10__day_of_week=fri,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D | Retorno acumulado 20D: choque de alta; Fechamento vs MM50: acima forte; Dia da semana: sexta-feira",asset_state_discovery_round1,asset_long_open_tp1_sl4_cap5,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D",long,open,1.0000,4.0000,5,3,Retorno acumulado 20D: choque de alta; Fechamento vs MM50: acima forte; Dia da semana: sexta-feira,"prev_ret_20d,close_vs_sma50,day_of_week",0.0000,76,311,282,90.6752,282,90.6752,281,90.3537,22,7.0740,8,2.5723,0.5929,0.5929,184.3950,511.6371,2.8982,2025-04-25,2026-04-10,percent,,
499.3930,asset_long_open_tp1_sl4_cap5__3f__gap_vs_atr14=rel_soft_dn__range_position_10d=upper_band__positive_days_5d=soft_strong,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D | Gap vs ATR14: levemente abaixo; Posicao no range 10D: fechou na metade superior; Dias positivos nos ultimos 5 pregoes: 3 dias positivos em 5D",asset_state_discovery_round1,asset_long_open_tp1_sl4_cap5,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D",long,open,1.0000,4.0000,5,3,Gap vs ATR14: levemente abaixo; Posicao no range 10D: fechou na metade superior; Dias positivos nos ultimos 5 pregoes: 3 dias positivos em 5D,"gap_vs_atr14,range_position_10d,positive_days_5d",0.0000,73,201,184,91.5423,184,91.5423,184,91.5423,16,7.9602,1,0.4975,0.5924,0.5924,119.0760,221.6924,2.8341,2025-04-22,2026-04-13,percent,,
498.9550,asset_long_open_tp1_sl4_cap5__3f__prev_ret_10d=up_5_8__drawdown_10d=dd_1_3__day_of_week=tue,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D | Retorno acumulado 10D: alta de 5% a 8%; Queda desde maxima 10D: 1% a 3% abaixo da maxima; Dia da semana: terca-feira",asset_state_discovery_round1,asset_long_open_tp1_sl4_cap5,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D",long,open,1.0000,4.0000,5,3,Retorno acumulado 10D: alta de 5% a 8%; Queda desde maxima 10D: 1% a 3% abaixo da maxima; Dia da semana: terca-feira,"prev_ret_10d,drawdown_10d,day_of_week",0.0000,74,212,193,91.0377,193,91.0377,193,91.0377,15,7.0755,4,1.8868,0.5907,0.5907,125.2196,241.9317,2.8474,2025-04-22,2026-04-07,percent,,
498.9380,asset_long_open_tp1_1_sl4_cap5__3f__close_vs_sma50=up_5_10__rsi_14=high__day_of_week=tue,"Discovery Acao: compra no open, alvo +1.1% / stop -4% / cap 5D | Fechamento vs MM50: acima forte; RSI 14 periodos: RSI alto; Dia da semana: terca-feira",asset_state_discovery_round1,asset_long_open_tp1_1_sl4_cap5,"Discovery Acao: compra no open, alvo +1.1% / stop -4% / cap 5D",long,open,1.1000,4.0000,5,3,Fechamento vs MM50: acima forte; RSI 14 periodos: RSI alto; Dia da semana: terca-feira,"close_vs_sma50,rsi_14,day_of_week",0.0000,59,223,201,90.1345,201,90.1345,201,90.1345,16,7.1749,6,2.6906,0.6623,0.6623,147.6818,326.5796,3.0115,2025-04-22,2026-04-07,percent,,
498.9182,asset_long_open_tp1_sl4_cap5__3f__prev_ret_3d=flat__compression_3v20=very_low__drawdown_10d=dd_1_3,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D | Retorno acumulado 3D: neutro; Compressao 3D vs 20D: muito baixo; Queda desde maxima 10D: 1% a 3% abaixo da maxima",asset_state_discovery_round1,asset_long_open_tp1_sl4_cap5,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D",long,open,1.0000,4.0000,5,3,Retorno acumulado 3D: neutro; Compressao 3D vs 20D: muito baixo; Queda desde maxima 10D: 1% a 3% abaixo da maxima,"prev_ret_3d,compression_3v20,drawdown_10d",0.0000,71,240,217,90.4167,217,90.4167,217,90.4167,15,6.2500,8,3.3333,0.5924,0.5924,142.1710,304.3516,2.8999,2025-04-22,2026-04-07,percent,,
498.6581,asset_long_open_tp1_sl4_cap5__3f__gap_vs_atr14=rel_soft_dn__intraday_return_prev=flat__day_of_week=fri,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D | Gap vs ATR14: levemente abaixo; Retorno intraday do candle de referencia: neutro; Dia da semana: sexta-feira",asset_state_discovery_round1,asset_long_open_tp1_sl4_cap5,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D",long,open,1.0000,4.0000,5,3,Gap vs ATR14: levemente abaixo; Retorno intraday do candle de referencia: neutro; Dia da semana: sexta-feira,"gap_vs_atr14,intraday_return_prev,day_of_week",0.0000,73,239,217,90.7950,217,90.7950,217,90.7950,16,6.6946,6,2.5105,0.5870,0.5870,140.2979,296.5440,2.8291,2025-04-25,2026-03-27,percent,,
497.2106,asset_long_open_tp1_sl4_cap5__3f__intraday_return_prev=flat__drawdown_10d=dd_6_10__atr_return_1d=rel_soft_dn,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D | Retorno intraday do candle de referencia: neutro; Queda desde maxima 10D: 6% a 10% abaixo da maxima; Retorno 1D normalizado por ATR: levemente abaixo",asset_state_discovery_round1,asset_long_open_tp1_sl4_cap5,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D",long,open,1.0000,4.0000,5,3,Retorno intraday do candle de referencia: neutro; Queda desde maxima 10D: 6% a 10% abaixo da maxima; Retorno 1D normalizado por ATR: levemente abaixo,"intraday_return_prev,drawdown_10d,atr_return_1d",0.0000,72,241,218,90.4564,218,90.4564,217,90.0415,16,6.6390,8,3.3195,0.5888,0.5888,141.8988,303.0382,2.8836,2025-05-07,2026-04-06,percent,,
